Classification,Entries
Food & drink,349
Biography & Memoir,219
Geography of & travel in Europe,77
Applied psychology,74
United States,56
Personal health & safety,45
Geography of & travel in North America,45
Financial economics,42
Diseases,39
Social groups,36
History of Europe,36
Criminology,30
Higher education,29
Culture & institutions,29
"Computer programming, programs & data",28
Athletic & outdoor sports & games,26
Mental processes & intelligence,25
Differential & developmental psychology,21
Human physiology,20
Special computer methods,19
Management & public relations,19
Graphic nonfiction,18
General management,18
"Perception, movement, emotions & drives",18
Religions of Indic origin,16
Pharmacology & therapeutics,16
Public performances,14
Production,14
Social welfare problems & services,14
Textile arts,14
Other social problems & services,14
Specific topics in parapsychology & occultism,13
Garden crops (Horticulture),12
English as second language,12
American essays in English,12
Political science,12
Child rearing & home care of persons,12
Data processing & computer science,11
International relations,11
Housekeeping,11
Interior decoration,10
Physics,10
Decorative arts,10
Housing & household equipment,9
American poetry in English,8
Social interaction,8
Social processes,8
"Gynecology, obstetrics, pediatrics & geriatrics",8
Animal husbandry,8
Medicine & health,7
China & adjacent areas,7
"Historical, geographic & persons treatment",6
"Christian experience, practice & life",6
Specific celestial bodies & phenomena,6
Economics,6
"Sewing, clothing & personal living",6
Northeastern United States,6
Rhetoric & collections of literature,6
Stage presentations,5
Geography of & travel in other areas,5
Home & family management,5
American miscellaneous writings,5
Specific topics in natural history,5
Vocal music,5
Education,5
Commerce,5
Genetics & evolution,4
Indoor games & amusements,4
Ethics,4
World history,4
Central Europe; Germany,4
Biochemistry,4
Systems of governments & states,4
Italian Peninsula & adjacent islands,4
Birds,4
Other branches of engineering,4
Geography of & travel in Asia,4
Surgery & related medical specialties,4
Central Asia,4
"Religious experience, life & practice",4
Labor economics,4
Private law,4
Factors affecting social behavior,4
The political process,4
Constitutional & administrative law,4
Furnishings & home workshops,3
Middle East (Near East),3
Military science,3
Mammals,3
"News media, journalism & publishing",3
England & Wales,3
Probabilities & applied mathematics,3
Meals & table service,3
France & Monaco,3
Management of public households,3
Economics of land & energy,3
Photography & computer art,3
British Isles,3
Elementary education,3
"Genealogy, names & insignia",3
Fields & kinds of photography,2
Applied physics,2
Carving & carvings,2
Design & decoration,2
Historical books of Old Testament,2
Doctrines,2
Social theology,2
Philosophy of Germany & Austria,2
Geography of & travel in Africa,2
Roman Catholic Church,2
The legislative process,2
Middle America; Mexico,2
"Labor, social, education & cultural law",2
Insect culture,2
Analysis,2
"Geology, hydrology & meteorology",2
Civil procedure & courts,2
History of Christianity in North America,2
"Microorganisms, fungi & algae",2
Macroeconomics & related topics,2
Scandinavia,2
Civil & political rights,2
General customs,2
Knowledge,2
Accounting,2
Mathematics,2
General libraries,2
Library operations,2
"Techniques, equipment, materials & forms",2
Drawing & drawings,2
Philosophy & theory,2
Other ethical norms,2
History of North America,2
Stoic philosophy,2
Humankind,2
Literatures of East & Southeast Asia,1
Landscape architecture,1
Standard Spanish usage,1
Bibliographies of works on specific subjects,1
Fossil cold-blooded vertebrates; fossil fishes,1
English language variations,1
Encyclopedias in American English,1
God,1
Public administration,1
Arts & recreation,1
Music,1
Geography of & travel in South America,1
Logic,1
Postal communication,1
North central United States,1
Christian ethics,1
Geometry,1
Psychology,1
Salvation & grace,1
Communications; telecommunication,1
Judaism,1
Arthropods,1
Criminal law,1
Costume & personal appearance,1
American humor & satire in English,1
Canada,1
Southeast Asia,1
Eastern Europe; Russia,1
Socialism & related systems,1
Ceramic arts,1
Cold-blooded vertebrates; fishes,1
Games of chance,1
General considerations of public administration,1
English essays,1
Newspapers in North America,1
Animals (Zoology),1
English drama,1
Old English (Anglo-Saxon),1
Relation of state to organized groups,1
Ecology,1
Incidence & prevention of disease,1
"Water, air & space transportation",1
Non-Semitic Afro-Asiatic languages,1
Earth (Astronomical geography),1
Food technology,1
Photographs,1
"Atlases, maps, charts & plans",1
Italy & adjacent territories to 476,1
Natural history,1
Vascular seedless plants,1
Philosophy & psychology,1
Geography & travel,1
"History, description & criticism",1
Writing systems,1
Sea forces & warfare,1
Afro-Asiatic languages; Semitic languages,1
French fiction,1
Other denominations & sects,1
Christianity & Christian theology,1
Field & plantation crops,1
Architecture,1
Plants noted for characteristics & flowers,1
The Bible,1
Prophetic books of Old Testament,1
American fiction in English,1
Life sciences; biology,1
Science,1
Subconscious & altered states,1
"Techniques, equipment & materials",1
Philosophy of fine & decorative arts,1
Social problems & social welfare in general,1
New Testament,1
Historical geography,1
General principles & musical forms,1
[Unassigned],1
Classical Greek epic poetry & fiction,1
Metaphysics,1
English fiction,1
East Indo-European & Celtic literatures,1
Bibliographies,1
Astronomy,1
Physiology & related subjects,1