WORD,WORD COUNT,
"""I",1,
#Healthyaf,1,Alphabet
&,14,
+,2,
-,1,
/,1,
10,1,
100,9,
100+,2,
101,2,
110,1,
120,1,
125,5,
140,1,
150,6,
16,1,
175,1,
2,1,
250,1,
275+,1,
3,1,
30,2,
5,1,
50,3,
500,4,
60,1,
65,2,
70,2,
75,3,
77,1,
:,90,
;,1,
=,1,
A,11,
Address,1,
Adventure,1,
Affordable,1,
Air,3,
Ali,1,
Alkaline,1,
All,1,
Always,1,
Amazing,1,
American,1,
An,1,
And,37,
Antics,1,
Art,1,
Asian,1,
At,3,
Athletes,1,
Authentic,2,
Autoimmune,2,
Baked,1,
Baking,3,
Balance,1,
Balanced,1,
Barefoot,1,
Bars,1,
Basically,1,
Beans,1,
Beauty,1,
Best,1,
Better,4,
Big,1,
Big-Flavor,1,
Bloat,1,
Bobby,2,
Body,1,
Book,4,
Boost,1,
Boring,1,
Bowl,1,
Bowls,1,
Breakfast,1,
Breakfasts,1,
Bring,2,
British,1,
Brownies,1,
Brunch,1,
Build-A-Bowl,1,
Busiest,1,
Busy,2,
By,1,
Cake,1,
Cakes,1,
Calories,1,
Calzone,1,
Carb,1,
Casual,1,
Cheese,1,
Chicken,1,
Childhood,1,
Christopher,1,
Classic,4,
Collection,2,
Combinations,1,
Comfort,6,
Common,1,
Company,1,
Complete,2,
Compliant,1,
Contessa,1,
Cook,9,
Cook?,1,
Cookable,1,
Cookbook,23,
Cooker,8,
Cookie,1,
Cookies,2,
Cooking,6,
Cookish,1,
Cool,1,
Copycat,1,
Crave,1,
Cravings,1,
Creative,1,
Dairy,1,
Dairy-Free,1,
Danielle,1,
Day,2,
Delicious,12,
Deliciously,2,
Delish,1,
Desserts,1,
Detroit,1,
Diet,6,
Dining,1,
Dinner,4,
Dinners,2,
Diseases,1,
Dish,1,
Dishes,3,
Diys,1,
Doing,1,
Done,1,
Dorie,1,
Dummies,1,
Dutch,2,
Easy,13,
Easy-To-Find,1,
Eat,4,
Eating,4,
Egg,1,
Eggs,1,
Electric,3,
Entertaining,1,
Essential,4,
Even,1,
Everday,1,
Every,3,
Everyday,4,
Everyone,2,
Everything,1,
Everywhere,1,
Family,5,
Fast,8,
Fat,1,
Fat-Burning,2,
Favorite,1,
Favorites,2,
Fearless,1,
Fecks,1,
Feed,1,
Feel,1,
Fewer,1,
Fish,1,
Fit,3,
Fix,1,
Flatten,1,
Flavor,2,
Flavors,2,
Flay,1,
Flexible,1,
Flexitarian,1,
Focaccia,2,
Food,10,
Foodies,1,
Foods,3,
Foolproof,4,
For,40,
Forks,1,
Freak,1,
Free,1,
Freezer,1,
Fresh,3,
Friendly,1,
Friends,1,
From,7,
Fryer,3,
Fuel,1,
Full,1,
Gardens,1,
Gathering,2,
Giada'S,1,
Glowing,1,
Glows,1,
Gluten-Free,1,
Go,1,
Good,3,
Gordon,2,
Grab,1,
Grain-Free,1,
Grandma,1,
Great,2,
Greek,1,
Grilled,1,
Grown-Up,1,
Guide,3,
Gut,2,
Half,1,
Handmade,1,
Hangry,1,
Happy,1,
Harvest,1,
Heal,1,
Healing,1,
Health,1,
Healthy,13,
Heaton'S,1,
Heck,1,
Help,1,
Herbal,1,
Herbs,1,
High-Fat,2,
Highly,1,
Home,5,
Homemade,1,
Homes,1,
Hormone,1,
Housekeeping,2,
How,1,
Humble,1,
Hungry,1,
I,2,
Ibs,1,
Iconic,1,
Ideas,1,
In,6,
Indian,2,
Indian-Ish,1,
Inflammation,1,
Inflammatory,1,
Ingredients,2,
Inside,2,
Inspired,2,
Instant,17,
Issues,1,
It,4,
Italy,1,
Julia,1,
Just,1,
Keep,1,
Keto,14,
Keto-Green,1,
Ketogenic,7,
Kimball'S,1,
Kitchen,5,
Kitchen'S,1,
Kitchen-Perfected,1,
Kitchen-Tested,1,
Knives,1,
Lasting,1,
Lean,1,
Lectin-Free,1,
Less,3,
Level,1,
Life,3,
Lifestyle,1,
Like,1,
Live,1,
Living,1,
Lose,1,
Loss,2,
Love,2,
Low,1,
Low-Carb,6,
Low-Fodmap,1,
Made,4,
Magnolia,2,
Make,2,
Make-Ahead,1,
Martha,1,
Master,1,
Mastering,1,
Meal,3,
Meal-Prepped,1,
Meals,9,
Meat,1,
Mediterranean,4,
Men,1,
Metabolism,1,
Milk,1,
Minimal,1,
Minutes,2,
Modern,5,
More,8,
Most,2,
Mostly,1,
Mouthwatering,2,
Multicooker,1,
My,5,
Nadiya'S,1,
Never,1,
New,1,
Next,1,
Nights,2,
No,1,
No-Fuss,1,
No-Waste,1,
Noah,1,
Nourish,1,
Nourishing,2,
Novel,1,
Nutritious,1,
Obsession,1,
Of,8,
Oh,1,
One,2,
Or,3,
Ottolenghi,1,
Out,2,
Oven,2,
Over,4,
Overnight,1,
Paleo,1,
Pan,2,
Paradox,1,
Parmesan,1,
Pastry,1,
Patricia,1,
People,1,
Perfect,4,
Perfection,1,
Perfectly,1,
Photography,1,
Pies,2,
Pizza,3,
Plant,1,
Plant-Based,5,
Plant-Centered,1,
Plants,1,
Poached,1,
Pollan,1,
Pot,15,
"Pot?""",1,
Potato,1,
Potatopia,1,
Potlucks,1,
Power,2,
Practice,1,
Prep,5,
Prep-And-Go,1,
Pressure,6,
Pretty,1,
Prevent,1,
Pro,1,
Protein,1,
Quick,6,
Quick-Fix,1,
Ramsay,1,
Ramsay'S,1,
Rapid,1,
Reboot,1,
Recipe,1,
Recipes,60,
Relieve,1,
Require,1,
Reset,2,
Restaurant,1,
Reverse,1,
Roman,1,
Rosen,1,
Run,1,
Salad,1,
Salads,2,
Satisfying,1,
Scaled,1,
Schedule,1,
Seriously,1,
She,1,
Sheet,1,
Should,1,
Sicilian,1,
Side,1,
Simple,6,
Simplify,1,
Simply,2,
Skillet,1,
Skinnytaste,2,
Slow,3,
Solution,1,
Solutions,1,
Soothe,1,
Soups,1,
Spectrum,1,
Square,1,
Starring,1,
Stewart'S,1,
Street,1,
Strength,1,
Success,1,
Sunny,1,
Super,2,
Sweet,1,
Symptoms,1,
Table,3,
Tailor-Made,1,
Take,1,
Taste,1,
Tasty,1,
Than,4,
That,1,
The,45,
Throw,1,
Time-Saving,1,
Tips,1,
To,25,
Together,1,
Tonight,1,
Totally,1,
Traditional,1,
Treats,2,
Tricks,1,
Tried,1,
True,1,
Tuesday,2,
Tummy,1,
Two,1,
Ultimate,5,
Up,1,
Updated,1,
Vegan,2,
Vegetarian,1,
Vegetarians,1,
Versatile,2,
Vibrant,1,
Volume,1,
Walker'S,1,
Way,1,
Ways--Easy,1,
Weekday,1,
Weeknight,1,
Weight,3,
Well,3,
Wellness,1,
What,2,
Whimsical,1,
Whole,1,
Whole-Food,1,
Whole30,4,
Wholesome,2,
With,10,
Without,1,
Work,1,
World'S,1,
You,6,
Your,18,
Yours,1,
Yum,1,